Designator,Mid X,Mid Y,Rotation,Layer
R231,33.000000,38.500000,90.000000,Top
R232,33.000000,71.000000,90.000000,Top
R233,33.000000,63.000000,90.000000,Top
R234,33.000000,94.500000,90.000000,Top
R235,33.000000,87.000000,90.000000,Top
R240,25.000000,42.500000,90.000000,Top
R241,26.000000,47.500000,0.000000,Top
R242,25.000000,67.000000,90.000000,Top
R243,25.000000,71.000000,90.000000,Top
R244,25.000000,91.000000,90.000000,Top
R245,25.000000,87.000000,90.000000,Top
R250,22.000000,45.500000,0.000000,Top
R251,22.000000,39.000000,0.000000,Top
R252,22.500000,64.000000,0.000000,Top
R253,24.000000,61.000000,90.000000,Top
R254,22.500000,94.000000,0.000000,Top
R255,18.000000,85.000000,90.000000,Top
R260,18.000000,48.000000,90.000000,Top
R261,18.000000,36.500000,90.000000,Top
R262,18.000000,61.000000,90.000000,Top
R263,21.000000,58.500000,0.000000,Top
R264,18.000000,96.500000,90.000000,Top
R265,18.000000,82.000000,0.000000,Top
RV100,79.100000,50.505000,180.000000,Top
U10,22.000000,122.000000,0.000000,Top
U11,42.000000,120.000000,0.000000,Top
U12,48.000000,49.000000,0.000000,Top
U13,57.000000,49.000000,0.000000,Top
U14,49.000000,70.000000,0.000000,Top
U15,58.000000,70.000000,0.000000,Top
U16,67.000000,110.000000,0.000000,Top
U17,43.000000,78.000000,0.000000,Top
U18,51.000000,78.000000,0.000000,Top
U19,49.000000,66.000000,0.000000,Top
U30,29.000000,42.266000,90.000000,Top
U31,29.000000,67.000000,90.000000,Top
U32,29.000000,90.816000,90.000000,Top
U33,17.190000,42.266000,90.000000,Top
U34,17.500000,67.000000,90.000000,Top
U35,17.785000,90.816000,90.000000,Top
U50,49.000000,21.000000,0.000000,Top
U51,59.000000,21.000000,0.000000,Top
U52,70.000000,13.000000,0.000000,Top
U100,76.750000,70.000000,90.000000,Top
U101,13.795000,20.200000,270.000000,Top
